drug,highest_confidence,within_pocket
Mefenamic_acid,-0.0800,True
Mequitazine,-0.0800,True
ZINC000000001091,-0.0800,True
ZINC000000009057,-0.0800,True
Mesalazine,-0.0800,True
Brimonidine,-0.0800,True
Iodohippurate_Sodium,-0.0900,True
Progabide,-0.0900,True
Nortriptyline,-0.0900,True
Thiamphenicol,-0.0900,True
Phenyltoloxamine,-0.0900,True
ZINC000000001591,-0.0900,True
Ethamsylate,-0.0900,True
Pilsicainide,-0.0900,True
Cyclophosphamide,-0.0900,True
Phenmetrazine,-0.0900,True
Sulfamethizole,-0.0900,True
Rosiglitazone_XR,-0.0900,True
Isosorbide_Dinitrate,-0.0900,True
Mepyramine,-0.0900,True
Ferric_maltol,-0.0900,True
ZINC000000007754,-0.0900,True
Mepenzolate,-0.0900,True
Polyethylene_glycol,-0.0900,True
Tolonium_chloride,-0.0900,True
ZINC000000000603,-0.0900,True
Sevelamer_hydrochloride,-0.1000,True
Epipodophyllotoxin,-0.1000,True
Tolmetin,-0.1000,True
ZINC000000003945,-0.1000,True
Gaboxadol,-0.1000,True
Cisplatin,-0.1000,True
ZINC000000004164,-0.1000,True
Sodium_chloride,-0.1000,True
Mitiglinide,-0.1000,True
Palonosetron,-0.1000,True
Floxuridine,-0.1000,True
Apraclonidine,-0.1000,True
Barbiturate,-0.1000,True
Clonixin,-0.1000,True
Tazobactam,-0.1100,True
ZINC000000003267,-0.1100,True
ZINC000000000045,-0.1100,True
Lanoconazole,-0.1100,True
Hydrastine,-0.1100,True
Pyrazinamide,-0.1100,True
Glycine,-0.1100,True
Alosetron,-0.1100,True
Trimethadione,-0.1100,True
Benztropine,-0.1100,True
Epinephrine,-0.1100,True
Mecamylamine,-0.1100,True
Aspirin,-0.1100,True
Amoxapine,-0.1100,True
Diazoxide,-0.1100,True
Tripelennamine,-0.1100,True
Nomegestrol_acetate,-0.1100,True
Nilutamide,-0.1100,True
Theobromine,-0.1100,True
Sulfacetamide,-0.1200,True
Mepindolol,-0.1200,True
ZINC000000001901,-0.1200,True
Oxtriphylline,-0.1200,True
Secnidazole,-0.1200,True
Miglitol,-0.1200,True
Edrophonium,-0.1200,True
Ferric_citrate,-0.1200,True
ZINC000000002845,-0.1200,True
ZINC000000001002,-0.1200,True
ZINC000000001288,-0.1200,True
Carbenicillin,-0.1200,True
ZINC000000003885,-0.1200,True
ZINC000000005606,-0.1300,True
Dexrazoxane,-0.1300,True
Cyclizine,-0.1300,True
ZINC000000003374,-0.1300,True
Artemisinin_SP,-0.1300,True
ZINC000000001536,-0.1300,True
Choline_salicylate,-0.1300,True
ZINC000000001465,-0.1300,True
Succimer,-0.1300,True
ZINC000000000546,-0.1300,True
Ropinirole,-0.1300,True
Idoxuridine,-0.1300,True
Lidocaine,-0.1300,True
Baclofen,-0.1300,True
Calcium_dobesilate,-0.1300,True
ZINC000000000636,-0.1300,True
Unithiol,-0.1300,True
ZINC000000006392,-0.1300,True
Choline_C_11,-0.1300,True
Cephalosporin,-0.1300,True
Cephalexin,-0.1300,True
Caffeine,-0.1300,True
Sulfisoxazole,-0.1300,True
Aminosalicylic_Acid,-0.1400,True
Sodium_Chromate_Cr_51,-0.1400,True
ZINC000000000888,-0.1400,True
Telbivudine,-0.1400,True
Methsuximide,-0.1400,True
Ethambutol,-0.1400,True
Prothionamide,-0.1400,True
2_deoxyglucose,-0.1400,True
Ampicillin,-0.1400,True
ZINC000000002209,-0.1400,True
Thymol,-0.1500,True
Methylphenidate,-0.1500,True
Ceftezole,-0.1500,True
FerriSeltz,-0.1500,True
ZINC000000000660,-0.1500,True
Trofinetide,-0.1500,True
Bunazosin,-0.1500,True
Tapinarof,-0.1500,True
Gardasil,-0.1500,True
Perchlozone,-0.1500,True
S_Dimethindene_maleate,-0.1500,True
ZINC000000000012,-0.1500,True
ZINC000000001958,-0.1500,True
Nalidixic_Acid,-0.1500,True
ZINC000000001506,-0.1500,True
Quinine,-0.1500,True
Levovist,-0.1500,True
ZINC000000000353,-0.1500,True
Vasicine,-0.1600,True
Lucanthone,-0.1600,True
ZINC000000003690,-0.1600,True
Promazine,-0.1600,True
Guanidine_Hydrochloride,-0.1600,True
Flucytosine,-0.1600,True
ZINC000000002124,-0.1600,True
Sodium_ferric_gluconate_complex,-0.1600,True
N_0923,-0.1600,True
ZINC000000002056,-0.1600,True
Potassium_Aminosalicylate,-0.1700,True
Tetrodotoxin,-0.1700,True
Carisoprodol,-0.1700,True
Bromhexine,-0.1700,True
Methylergonovine,-0.1700,True
Ropivacaine,-0.1700,True
Valaciclovir,-0.1700,True
Voxelotor,-0.1700,True
Protriptyline,-0.1700,True
Pseudoephedrine,-0.1700,True
ZINC000000004100,-0.1700,True
Armodafinil,-0.1700,True
Metronidazole,-0.1700,True
ZINC000000000451,-0.1700,True
Cyproheptadine,-0.1700,True
Carteolol,-0.1700,True
Trihexyphenidyl,-0.1800,True
Penicillin_G_Sodium,-0.1800,True
Pamidronate,-0.1800,True
Cefadroxil,-0.1800,True
Tranexamic_Acid,-0.1800,True
ZINC000000002698,-0.1800,True
Metadoxine,-0.1800,True
Amifampridine,-0.1800,True
Inactive_4_Activity_NoActivity,-0.1800,True
Thiotepa,-0.1800,True
Tolperisone,-0.1900,True
ZINC000000002493,-0.1900,True
Fenoterol,-0.1900,True
Chloramphenicol,-0.1900,True
Inamrinone_Lactate,-0.1900,True
Osilodrostat,-0.1900,True
Butylscopolamine,-0.1900,True
Careram,-0.1900,True
ZINC000000003123,-0.1900,True
Maribavir,-0.1900,True
ZINC000000006846,-0.2000,True
Bentazepam,-0.2000,True
Invert_sugar,-0.2000,True
ZINC000000004568,-0.2000,True
Penicillingit,-0.2000,True
Chlorpheniramine,-0.2000,True
Thallous_Chloride_Tl_201,-0.2000,True
Bupivacaine,-0.2000,True
L_Tryptophan,-0.2100,True
ZINC000000001852,-0.2100,True
ZINC000000002824,-0.2100,True
Aminohippurate_sodium,-0.2100,True
ZINC000000001283,-0.2100,True
Chromic_Chloride,-0.2100,True
Technetium_Tc_99m_Mebrofenin_Kit,-0.2100,True
ZINC000000001754,-0.2100,True
Linezolid,-0.2100,True
Modafinil,-0.2100,True
ZINC000000006118,-0.2100,True
Vitamin_B3,-0.2100,True
Trimethoprim,-0.2100,True
Atomoxetine,-0.2200,True
Penicillamine,-0.2200,True
ZINC000000004541,-0.2200,True
Fluvoxamine,-0.2200,True
Methocarbamol,-0.2200,True
ZINC000000002426,-0.2200,True
Econazole,-0.2200,True
Pentobarbital,-0.2200,True
Ticlopidine,-0.2200,True
Hexyl_aminolevulinate,-0.2200,True
ZINC000000004841,-0.2200,True
Rimantadine,-0.2200,True
Meglitinides,-0.2200,True
Clonidine,-0.2300,True
Zolpidem,-0.2300,True
Rasagiline,-0.2300,True
Thiamine_Hydrochloride,-0.2300,True
Miconazole,-0.2300,True
Gemfibrozil,-0.2300,True
Acipimox,-0.2300,True
Nefopam,-0.2300,True
Zinc_Chloride,-0.2300,True
Vericiguat,-0.2300,True
Olodaterol,-0.2300,True
Melatonin,-0.2300,True
Methoxyflurane,-0.2300,True
Ethinyl_Estradiol,-0.2300,True
ZINC000000002999,-0.2300,True
Levofloxacin,-0.2300,True
Phenindione,-0.2400,True
Butizide,-0.2400,True
Sulphadoxine,-0.2400,True
Prezatide_copper_acetate,-0.2400,True
Pheniramine,-0.2400,True
Cycloserine,-0.2400,True
Luliconazole,-0.2400,True
Primidone,-0.2400,True
Pirfenidone,-0.2400,True
Talazoparib,-0.2400,True
Epinastine,-0.2400,True
ZINC000000001106,-0.2400,True
Famotidine,-0.2400,True
Dothiepin,-0.2400,True
Butalbital,-0.2400,True
ZINC000000003722,-0.2500,True
Dolasetron,-0.2500,True
ZINC000000005085,-0.2500,True
HTF_919,-0.2500,True
Saxagliptin,-0.2500,True
ZINC000000000640,-0.2500,True
Granisetron,-0.2500,True
Methylene_blue,-0.2500,True
ZINC000000003046,-0.2500,True
KU_0058948,-0.2500,True
ZINC000000005824,-0.2500,True
Promethazine,-0.2500,True
Huperzine_A,-0.2500,True
Triprolidine,-0.2500,True
Gabexate,-0.2600,True
Diethylcarbamazine,-0.2600,True
Methyprylon,-0.2600,True
Moclobemide,-0.2600,True
Emedastine,-0.2600,True
ZINC000000002152,-0.2600,True
Isoetharine,-0.2600,True
Levodopa,-0.2700,True
Levonorgestrel,-0.2700,True
Vildagliptin,-0.2700,True
Erythrityl_Tetranitrate,-0.2700,True
Sulfadiazine,-0.2700,True
Pirenzepine,-0.2700,True
Imipramine,-0.2700,True
Amisulpride,-0.2700,True
Vamorolone,-0.2700,True
Pentolinium,-0.2700,True
ZINC000000000351,-0.2700,True
Clovoxamine,-0.2700,True
Diphenidol,-0.2700,True
Feraheme_Rienso,-0.2800,True
Methacycline,-0.2800,True
Elliptinium_acetate,-0.2800,True
Methscopolamine_Bromide,-0.2800,True
Salicin,-0.2800,True
Pramiracetam,-0.2800,True
Sulfamethazine,-0.2800,True
Propranolol,-0.2800,True
ZINC000000001738,-0.2800,True
Perindopril,-0.2800,True
Calcium_Gluceptate,-0.2800,True
Perazine,-0.2800,True
Sodium_zirconium_cyclosilicate,-0.2800,True
Alogliptin,-0.2800,True
Sorivudine,-0.2800,True
Mebendazole,-0.2800,True
Brodimoprim,-0.2800,True
Ritodrine,-0.2800,True
Vitamin_B6,-0.2800,True
Indium_In_111_Chloride,-0.2900,True
Selegiline,-0.2900,True
Isovanillin,-0.2900,True
ZINC000000002008,-0.2900,True
Doxycycline,-0.2900,True
Delorazepam,-0.2900,True
Dexmedetomidine,-0.2900,True
ZINC000000007312,-0.2900,True
Morphine,-0.2900,True
Sevoflurane,-0.2900,True
Voglibose,-0.2900,True
ZINC000000001651,-0.3000,True
Fructose,-0.3000,True
Eupatilin,-0.3000,True
Oestradiol_valerate_and_dienogest,-0.3000,True
ZINC000000006929,-0.3000,True
Molindone,-0.3000,True
Camphor,-0.3000,True
Cefradine,-0.3000,True
Thiazolidinedione,-0.3000,True
Quetiapine,-0.3000,True
Phloroglucinol,-0.3000,True
Tetrahydrobiopterin,-0.3000,True
Phenylephrine,-0.3100,True
Polythiazide,-0.3100,True
ZINC000000001853,-0.3100,True
Tegaserod,-0.3100,True
Nevirapine,-0.3100,True
Piperazine,-0.3100,True
Nipradilol,-0.3100,True
Nabumetone,-0.3100,True
Benorilate,-0.3100,True
Clidinium,-0.3100,True
ZINC000000002121,-0.3200,True
Bornaprine,-0.3200,True
Sulfamethoxazole,-0.3200,True
Clonazepam,-0.3200,True
L_Alanine,-0.3200,True
Bromodiphenhydramine,-0.3200,True
Acrisorcin,-0.3200,True
ZINC000000003699,-0.3200,True
Ephedrine,-0.3200,True
Nemonoxacin,-0.3200,True
Phendimetrazine,-0.3200,True
Tasimelteon,-0.3200,True
Cyclacillin,-0.3200,True
E_2007,-0.3200,True
Etidocaine,-0.3300,True
Prochlorperazine,-0.3300,True
Sotalol,-0.3300,True
ZINC000000000665,-0.3300,True
Apomorphine,-0.3300,True
ZINC000000004810,-0.3300,True
Tocainide,-0.3300,True
Vitamin_B1,-0.3300,True
Chlormezanone,-0.3300,True
Bromfenac,-0.3300,True
Lorcaserin,-0.3300,True
Trofosfamide,-0.3300,True
Estradiol_Acetate,-0.3300,True
Dicumarol,-0.3300,True
Technetium_Tc_99m_Etidronate_Kit,-0.3300,True
ZINC000000007697,-0.3400,True
Opicapone,-0.3400,True
Sulfapyridine,-0.3400,True
Prasterone,-0.3400,True
Epervudine,-0.3400,True
Technetium_Tc_99m_Succimer_Kit,-0.3400,True
Indapamide,-0.3400,True
L_Phenylalanine,-0.3400,True
ZINC000000002363,-0.3400,True
ZINC000000004351,-0.3400,True
Amantadine,-0.3400,True
Tromethamine,-0.3400,True
Ajmalicine,-0.3400,True
Uridine_triacetate,-0.3400,True
ZINC000000000996,-0.3400,True
Colestipol,-0.3500,True
ZINC000000003742,-0.3500,True
ZINC000000000167,-0.3500,True
Mannitol,-0.3500,True
Triclofos_Sodium,-0.3500,True
Choline_magnesium_trisalicylate,-0.3500,True
Phentermine,-0.3500,True
Hexachlorophene,-0.3500,True
Reboxetine,-0.3500,True
Technetium_Tc_99m_Oxidronate_Kit,-0.3500,True
Amodiaquine,-0.3500,True
Ozenoxacin,-0.3500,True
Temazepam,-0.3500,True
Dalfampridine,-0.3500,True
Dydrogesterone,-0.3500,True
Hydroquinone,-0.3500,True
Benzphetamine,-0.3500,True
Iodamide,-0.3600,True
ZINC000000000984,-0.3600,True
Zanamivir,-0.3600,True
Rilpivirine,-0.3600,True
ZINC000000005411,-0.3600,True
Olutasidenib,-0.3600,True
Zolmitriptan,-0.3600,True
Levosimendan,-0.3600,True
Mephenytoin,-0.3600,True
Nandrolone,-0.3600,True
ZINC000000001767,-0.3600,True
Enoxacin,-0.3600,True
Quinethazone,-0.3600,True
ZINC000000001645,-0.3700,True
ZINC000000004939,-0.3700,True
Iocetamic_acid,-0.3700,True
ZINC000000003605,-0.3700,True
Alendronate,-0.3700,True
Trimethaphan,-0.3700,True
Cefdinir,-0.3700,True
MK_1439,-0.3700,True
L_Tyrosine,-0.3700,True
ZINC000000003975,-0.3700,True
Propylhexedrine,-0.3700,True
Trientine_Hydrochloride,-0.3700,True
Riociguat,-0.3800,True
Egualen_sodium,-0.3800,True
Papaverine,-0.3800,True
Heptabarbital,-0.3800,True
ZINC000000002036,-0.3800,True
Iprodione,-0.3800,True
ZINC000000000234,-0.3800,True
Diphemanil_Methylsulfate,-0.3800,True
ZINC000000003460,-0.3800,True
Promegestone,-0.3800,True
Clorgyline,-0.3800,True
Fluorodopa_F_18,-0.3800,True
Iodoquinol,-0.3800,True
Xipamide,-0.3800,True
Fexinidazole,-0.3800,True
Dyphylline,-0.3800,True
ZINC000000003896,-0.3900,True
Etidronate_Disodium,-0.3900,True
Sorbitol,-0.3900,True
Etomidate,-0.3900,True
Pargyline,-0.3900,True
Amobarbital,-0.3900,True
Oxitropium_bromide,-0.3900,True
Azaribine,-0.3900,True
Ethylestrenol,-0.3900,True
ZINC000000004029,-0.3900,True
Andrographolide,-0.3900,True
Mechlorethamine,-0.4000,True
ZINC000000006310,-0.4000,True
Cloperastine,-0.4000,True
ZINC000000003788,-0.4000,True
Isradipine,-0.4000,True
Clofoctol,-0.4000,True
Chloral_hydrate,-0.4000,True
Dobutamine,-0.4000,True
Fosfluconazole,-0.4000,True
Phenoxybenzamine,-0.4000,True
ZINC000000001301,-0.4000,True
Ecabet_sodium,-0.4000,True
Menthol,-0.4000,True
ZINC000000000997,-0.4000,True
Oxandrolone,-0.4000,True
ZINC000000001043,-0.4100,True
ZINC000000004317,-0.4100,True
Phenobarbital,-0.4100,True
ZINC000000001658,-0.4100,True
Nicorandil,-0.4100,True
Prasugrel,-0.4100,True
Homatropine_Methylbromide,-0.4100,True
Testolactone,-0.4100,True
MEPTAZINOL,-0.4100,True
Disulfiram,-0.4100,True
Methamphetamine,-0.4100,True
Marinol,-0.4100,True
Gallium_nitrate,-0.4100,True
ZINC000000002966,-0.4100,True
Oxiconazole,-0.4100,True
Rosoxacin,-0.4200,True
Iofetamine_Hydrochloride_I_123,-0.4200,True
Fentanyl,-0.4200,True
Dapsone,-0.4200,True
Kombiglyze_XR_Komboglyze_FDC,-0.4200,True
Cefalotin,-0.4200,True
Sodium_nitrite,-0.4200,True
Cimetidine,-0.4200,True
Fotemustine,-0.4200,True
Glatiramer_Acetate,-0.4200,True
Milrinone,-0.4300,True
ZINC000000004897,-0.4300,True
Trolamine_salicylate,-0.4300,True
Etonogestrel,-0.4300,True
Minocycline,-0.4300,True
ZINC000000001417,-0.4300,True
Lactulose,-0.4300,True
ZINC000000000453,-0.4300,True
Simethicone,-0.4300,True
Mepivacaine,-0.4300,True
Labetalol,-0.4300,True
Divalproex_sodium,-0.4400,True
Loracarbef,-0.4400,True
Cefazolin,-0.4400,True
Timolol,-0.4400,True
Nitric_Oxide,-0.4400,True
Polyestradiol_Phosphate,-0.4400,True
ZINC000000008906,-0.4400,True
ZINC000000002014,-0.4400,True
Tolazoline,-0.4400,True
Captopril,-0.4400,True
Indium_In_111_Oxyquinoline,-0.4400,True
Deferiprone,-0.4400,True
ZINC000000000791,-0.4400,True
ZINC000000004150,-0.4400,True
Oxacillin,-0.4400,True
ZINC000000006650,-0.4400,True
Brompheniramine,-0.4400,True
Oxymetholone,-0.4400,True
Isoflurophate,-0.4400,True
ZINC000000001306,-0.4500,True
Meglumine_antimoniate,-0.4500,True
Dibenzepin,-0.4500,True
Brivaracetam,-0.4500,True
Candesartan,-0.4500,True
Droxidopa,-0.4500,True
Tacrine,-0.4500,True
ZINC000000002669,-0.4500,True
Probenecid,-0.4500,True
Megestrol,-0.4500,True
ZINC000000007507,-0.4500,True
Valsartan,-0.4500,True
Metaraminol,-0.4500,True
ZINC000000004382,-0.4500,True
Ridogrel,-0.4500,True
Y_25130,-0.4600,True
Fenquizone,-0.4600,True
Cefaclor,-0.4600,True
ZINC000000007322,-0.4600,True
Roflumilast,-0.4600,True
Fludiazepam,-0.4600,True
ZINC000000000274,-0.4600,True
Hydrocodone,-0.4600,True
Ferrous_Citrate_Fe_59,-0.4600,True
Meclofenamic_acid,-0.4600,True
ZINC000000001408,-0.4600,True
ZINC000000008974,-0.4700,True
Flunitrazepam,-0.4700,True
Treximet,-0.4700,True
Ketotifen,-0.4700,True
Oxyphencyclimine,-0.4700,True
Cefuroxime,-0.4700,True
NABILONE,-0.4700,True
ZINC000000001237,-0.4700,True
ZINC000000003750,-0.4700,True
Clocortolone,-0.4700,True
Nepafenac,-0.4700,True
Diclofenac,-0.4700,True
ZINC000000005053,-0.4800,True
FENOFIBRIC_ACID,-0.4800,True
Dimercaprol,-0.4800,True
Echovist,-0.4800,True
ZINC000000004103,-0.4800,True
MOXONIDINE,-0.4800,True
Cefacetrile,-0.4800,True
Meclofenamate_Sodium,-0.4800,True
Alprazolam,-0.4800,True
Sodium_iodide_I_131,-0.4800,True
Levobunolol,-0.4800,True
ZINC000000001796,-0.4800,True
TERTATOLOL,-0.4800,True
ZINC000000002108,-0.4800,True
Pemirolast,-0.4800,True
ZINC000000007195,-0.4800,True
Tindamax,-0.4900,True
Sparfloxacin,-0.4900,True
Ibandronate,-0.4900,True
Peramivir,-0.4900,True
Ixazomib,-0.4900,True
Cilazapril,-0.4900,True
Pyridoxal_Phosphate,-0.4900,True
Oxamniquine,-0.4900,True
Zoledronate,-0.4900,True
Emepronium,-0.4900,True
Inosine_pranobex,-0.4900,True
Zopiclone,-0.4900,True
Guggulsterone,-0.4900,True
ZINC000000003117,-0.4900,True
Liothyronine,-0.4900,True
ZINC000000001293,-0.5000,True
Dimethindene,-0.5000,True
Vortioxetine,-0.5000,True
ZINC000000003346,-0.5000,True
Ciclopirox,-0.5000,True
ZINC000000003542,-0.5000,True
Diatrizoate,-0.5000,True
Masoprocol,-0.5000,True
Bendamustine_hydrochloride,-0.5000,True
Penicillin_V,-0.5000,True
Silver_nitrate,-0.5000,True
Podofilox,-0.5100,True
Ceftizoxime,-0.5100,True
ZINC000000006768,-0.5100,True
Secobarbital,-0.5100,True
Rizatriptan,-0.5100,True
Malathion,-0.5100,True
Technetium_Tc_99m_Pentetate_Kit,-0.5100,True
Arteflene,-0.5100,True
Eptazocine_hbr,-0.5100,True
Desonide,-0.5100,True
Fleroxacin,-0.5100,True
ZINC000000000784,-0.5100,True
ZINC000000001309,-0.5200,True
Cadralazine,-0.5200,True
Estriol,-0.5200,True
ZINC000000005258,-0.5200,True
Miglustat,-0.5200,True
Abrocitinib,-0.5200,True
ZINC000000003595,-0.5200,True
Estropipate,-0.5300,True
Tropicamide,-0.5300,True
Flunisolide,-0.5300,True
Etidronic_acid,-0.5300,True
Ipratropium,-0.5300,True
Tetracaine,-0.5300,True
Lindane,-0.5300,True
Oxilofrine,-0.5300,True
Conjugated_Estrogens,-0.5300,True
Amoxicillin,-0.5300,True
ZINC000000001290,-0.5300,True
ZINC000000005761,-0.5300,True
Bromopride,-0.5300,True
ZINC000000001690,-0.5300,True
Metoclopramide,-0.5300,True
Menadiol_sodium_diphosphate,-0.5400,True
Pachycarpine,-0.5400,True
Solifenacin,-0.5400,True
Meticillin,-0.5400,True
Exemestane,-0.5400,True
R0_93877,-0.5400,True
Fluoxetine,-0.5400,True
Norgestimate,-0.5400,True
ZINC000000000561,-0.5500,True
Glutethimide,-0.5500,True
Meclocycline,-0.5500,True
Nemonapride,-0.5500,True
MELARSOPROL,-0.5500,True
Milnacipran,-0.5500,True
Clodronate,-0.5500,True
Levothyroxine,-0.5500,True
Altretamine,-0.5500,True
Incadronate,-0.5600,True
Aminophylline,-0.5600,True
Voriconazole,-0.5600,True
Halcinonide,-0.5600,True
Vorinostat,-0.5600,True
Estrone,-0.5600,True
ZINC000000004132,-0.5600,True
Bevantolol,-0.5600,True
Trioxsalen,-0.5600,True
Cyproterone,-0.5600,True
Butoconazole,-0.5600,True
Sertaconazole,-0.5600,True
ZINC000000003268,-0.5600,True
Levallorphan,-0.5600,True
Drospirenone,-0.5600,True
Articaine,-0.5600,True
Alfuzosin,-0.5600,True
cortisone,-0.5600,True
Trilostane,-0.5700,True
Norethindrone,-0.5700,True
Procaterol,-0.5700,True
Enalaprilat,-0.5700,True
Chlorothiazide,-0.5700,True
Trimegestone,-0.5700,True
Liranaftate,-0.5700,True
Cetraxate,-0.5700,True
Allopregnanolone,-0.5700,True
Strontium_ranelate,-0.5700,True
Ranitidine,-0.5700,True
Opipramol,-0.5700,True
Ergonovine,-0.5700,True
Trifluridine,-0.5700,True
ZINC000000003876,-0.5700,True
Mephentermine,-0.5800,True
Bambuterol,-0.5800,True
ZINC000000004776,-0.5800,True
Midodrine,-0.5800,True
CHLOROXINE,-0.5800,True
Tapentadol_hydrochloride,-0.5800,True
Oxyphenonium,-0.5800,True
Dezocine,-0.5800,True
DEXMETHYLPHENIDATE_HYDROCHLORIDE,-0.5800,True
Mitotane,-0.5800,True
Sulconazole,-0.5800,True
Altropane,-0.5900,True
ZINC000000001059,-0.5900,True
Tetrahydrozoline,-0.5900,True
Arbutamine,-0.5900,True
Mexiletine,-0.5900,True
Rosaprostol,-0.5900,True
Oxytetracycline,-0.5900,True
ZINC000000001378,-0.5900,True
ZINC000000001729,-0.5900,True
Febuxostat,-0.5900,True
Meropenem,-0.5900,True
Zonisamide,-0.5900,True
Methdilazine,-0.5900,True
ZINC000000002226,-0.5900,True
Mepyramine_maleate,-0.5900,True
ZINC000000001974,-0.5900,True
Safinamide_mesylate,-0.5900,True
Lofexidine,-0.6000,True
Clobazam_Lundbeck,-0.6000,True
Penicillin_G_Procaine,-0.6000,True
Omeprazole,-0.6000,True
Carbinoxamine,-0.6000,True
Fluticasone,-0.6000,True
Midazolam,-0.6000,True
Fenofibrate,-0.6000,True
Hydroxyprogesterone,-0.6000,True
Tibolone,-0.6000,True
Chloroquine,-0.6000,True
Iobenguane_Sulfate_I_131,-0.6000,True
Pyrimethamine_sulfadoxine,-0.6000,True
Medrysone,-0.6100,True
Hydroxychloroquine,-0.6100,True
Dexamethasone,-0.6100,True
Oxymetazoline,-0.6100,True
Heroin_diacetylmorphine,-0.6100,True
Atenolol,-0.6100,True
Ramelteon,-0.6100,True
Ademetionine,-0.6100,True
Bretylium,-0.6100,True
Losartan,-0.6100,True
Indomethacin,-0.6100,True
Hydroflumethiazide,-0.6100,True
Nadolol,-0.6100,True
Doripenem,-0.6100,True
Naphazoline,-0.6200,True
Dextropropoxyphene,-0.6200,True
Idebenone,-0.6200,True
ZINC000000001574,-0.6200,True
Lomefloxacin,-0.6200,True
ZINC000000001323,-0.6200,True
ZINC000000004241,-0.6200,True
Quazepam,-0.6200,True
Nizatidine,-0.6200,True
Naftifine,-0.6200,True
Crotamiton,-0.6200,True
Buflomedil,-0.6200,True
Diethylstilbestrol,-0.6200,True
Interferon_Alfa_2b,-0.6200,True
Ciprofloxacin_XR,-0.6300,True
Trospium,-0.6300,True
Deutetrabenazine,-0.6300,True
Practolol,-0.6300,True
Dasotraline,-0.6300,True
Estradiol_Valerate,-0.6300,True
Befunolol_hci,-0.6300,True
ZINC000000001174,-0.6300,True
Budesonide,-0.6300,True
Denopamine,-0.6300,True
Pirmenol,-0.6300,True
Aceclofenac,-0.6300,True
Propafenone,-0.6300,True
Pentaerythritol_tetranitrate,-0.6400,True
Sodium_lauryl_sulfate,-0.6400,True
Eterobarb,-0.6400,True
Crofelemer,-0.6400,True
Iothalamate,-0.6400,True
Aspoxicillin,-0.6400,True
ZINC000000000562,-0.6400,True
Noscapine_narcotine,-0.6400,True
Dicloxacillin,-0.6400,True
Azilsartan,-0.6500,True
ZINC000000006909,-0.6500,True
tetrahydropalmatine,-0.6500,True
ZINC000000004046,-0.6500,True
Ceftibuten,-0.6500,True
Perphenazine,-0.6500,True
Safinamide,-0.6500,True
ZINC000000000754,-0.6500,True
Valdecoxib,-0.6500,True
Proparacaine,-0.6500,True
ZINC000000005632,-0.6500,True
Agrimophol,-0.6600,True
Remifentanil,-0.6600,True
Amsacrine,-0.6600,True
ZINC000000000011,-0.6600,True
Ipriflavone,-0.6600,True
ZINC000000003868,-0.6600,True
Sertraline,-0.6600,True
Diphenhydramine,-0.6600,True
Hydroxystilbamidine_Isethionate,-0.6600,True
Cefroxadine,-0.6600,True
Sanguinarine,-0.6700,True
Chlophedianol,-0.6700,True
ZINC000000008269,-0.6700,True
Metaproterenol_Sulfate,-0.6700,True
Alphaprodine,-0.6700,True
Polidocanol_BioForm_Medical_Chemische_Fabrik_Kreussler_Co,-0.6700,True
NAFTOPIDIL,-0.6700,True
Terazosin,-0.6700,True
Escitalopram,-0.6700,True
Rimexolone,-0.6700,True
Etravirine,-0.6700,True
Hydrochlorothiazide,-0.6700,True
ARRY_162,-0.6800,True
ZINC000000006223,-0.6800,True
Pneumovax_23,-0.6800,True
Cyclofenil,-0.6800,True
Quinagolide,-0.6800,True
Propicillin,-0.6800,True
Alogliptin_metformin,-0.6800,True
99mTc_sestamibi,-0.6800,True
Anisotropine_Methylbromide,-0.6800,True
Medroxyprogesterone,-0.6800,True
Bemetizide,-0.6800,True
Dantrolene,-0.6800,True
Finafloxacin,-0.6800,True
Chlorprothixene,-0.6900,True
ZINC000000003152,-0.6900,True
Anileridine,-0.6900,True
Esomeprazole,-0.6900,True
Pyrimethamine,-0.6900,True
Methysergide,-0.6900,True
Pefloxacin,-0.6900,True
Sulfasalazine,-0.6900,True
Ketamine,-0.6900,True
Cyclothiazide,-0.6900,True
Norfloxacin,-0.7000,True
Dienestrol,-0.7000,True
Cloxacillin,-0.7000,True
Cefatrizine,-0.7000,True
Bisacodyl,-0.7000,True
Orphenadrine,-0.7000,True
Propericiazine,-0.7000,True
Mestranol,-0.7000,True
Upadacitinib,-0.7100,True
Trimetrexate,-0.7100,True
Besifloxacin,-0.7100,True
Chondroitin,-0.7100,True
Almogran,-0.7100,True
Balofloxacin,-0.7100,True
ZINC000000003106,-0.7100,True
Prulifloxacin,-0.7100,True
Luvox,-0.7100,True
Dinoprostone,-0.7100,True
Picrotoxin,-0.7100,True
Anileridine_Hydrochloride,-0.7100,True
Levocetirizine_dihydrochloride,-0.7100,True
Cephaloglycin,-0.7100,True
Propofol,-0.7100,True
Lorcainide,-0.7100,True
Trimebutine,-0.7100,True
Tasosartan,-0.7200,True
Minaprine,-0.7200,True
Bicalutamide,-0.7200,True
Ioflupane_i_123,-0.7200,True
Praziquantel,-0.7200,True
ZINC000000000932,-0.7200,True
Progesterone,-0.7300,True
Protokylol_Hydrochloride,-0.7300,True
Cholestyramine,-0.7300,True
Risedronate,-0.7300,True
Benzthiazide,-0.7300,True
Vonoprazan,-0.7300,True
Meclizine,-0.7300,True
Triazolam,-0.7300,True
